model,representation,accuracy,precision,recall,f1,fpr,auc,cv_best_f1,tp,fp,tn,fn,best_params
MultinomialNB,bow,0.9835271317829457,0.9586776859504132,0.90625,0.9317269076305221,0.0055309734513274336,0.9773143667035398,0.9251664740531602,116,5,899,12,{'alpha': 1.0}
LogisticRegression,bow,0.9844961240310077,0.9745762711864406,0.8984375,0.9349593495934959,0.00331858407079646,0.9794576189159292,0.9107491664872521,115,3,901,13,{'C': 10}
LinearSVM,bow,0.9806201550387597,0.95,0.890625,0.9193548387096774,0.00663716814159292,0.9873306139380531,0.9067633627689917,114,6,898,14,{'C': 0.1}
XGBoost,bow,0.9825581395348837,0.9583333333333334,0.8984375,0.9274193548387096,0.0055309734513274336,0.9806675193584071,0.8922069833343139,115,5,899,13,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 200}"
MultinomialNB,tfidf_unigram,0.9835271317829457,0.9743589743589743,0.890625,0.9306122448979591,0.00331858407079646,0.9901652378318584,0.9178337961738517,114,3,901,14,{'alpha': 0.1}
LogisticRegression,tfidf_unigram,0.9835271317829457,0.937007874015748,0.9296875,0.9333333333333333,0.008849557522123894,0.9906837665929203,0.9125253885591865,119,8,896,9,{'C': 10}
LinearSVM,tfidf_unigram,0.9874031007751938,0.967479674796748,0.9296875,0.9482071713147411,0.004424778761061947,0.9886442201327433,0.9172268396153941,119,4,900,9,{'C': 1}
XGBoost,tfidf_unigram,0.9796511627906976,0.9572649572649573,0.875,0.9142857142857143,0.0055309734513274336,0.9853515625,0.877203460218453,112,5,899,16,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
MultinomialNB,tfidf_bigram,0.9806201550387597,0.9655172413793104,0.875,0.9180327868852459,0.004424778761061947,0.9815663025442478,0.9249017430612643,112,4,900,16,{'alpha': 0.01}
LogisticRegression,tfidf_bigram,0.9864341085271318,0.9596774193548387,0.9296875,0.9444444444444444,0.0055309734513274336,0.9930171460176991,0.9199948692290588,119,5,899,9,{'C': 10}
LinearSVM,tfidf_bigram,0.9874031007751938,0.9752066115702479,0.921875,0.9477911646586346,0.00331858407079646,0.9904763550884956,0.9263554581956293,118,3,901,10,{'C': 1}
XGBoost,tfidf_bigram,0.9767441860465116,0.9642857142857143,0.84375,0.9,0.004424778761061947,0.9784983407079646,0.8881622114240129,108,4,900,20,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 200}"
MultinomialNB,tfidf_trigram,0.9815891472868217,0.9739130434782609,0.875,0.9218106995884774,0.00331858407079646,0.9784983407079646,0.9153873438971699,112,3,901,16,{'alpha': 0.01}
LogisticRegression,tfidf_trigram,0.9844961240310077,0.9516129032258065,0.921875,0.9365079365079365,0.00663716814159292,0.9931899889380531,0.9185143979405236,118,6,898,10,{'C': 10}
LinearSVM,tfidf_trigram,0.9874031007751938,0.9752066115702479,0.921875,0.9477911646586346,0.00331858407079646,0.9913405696902654,0.9222706016786117,118,3,901,10,{'C': 1}
XGBoost,tfidf_trigram,0.9738372093023255,0.9469026548672567,0.8359375,0.8879668049792531,0.00663716814159292,0.9747303650442478,0.8824089051045572,107,6,898,21,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
